"","facility","total","vaginal","vbac","cesarean","county","year"
"445","Legacy Emanuel Hospital & Health Center",1808,958,84,766,"Multnomah County",2010
"446","Legacy Good Samaritan Hospital & Medical Center",1146,789,14,343,"Multnomah County",2010
"447","Legacy Mt Hood Medical Center",1012,738,23,251,"Multnomah County",2010
"448","OHSU Hospitals & Clinics",2326,1398,171,757,"Multnomah County",2010
"449","Providence Portland Medical Center",2499,1607,31,861,"Multnomah County",2010
"450","Alma Midwifery Services",102,100,2,0,"Multnomah County",2010
"451","Andaluz Waterbirth Center - Portland",137,131,6,0,"Multnomah County",2010
"452","Natural Childbirth & Family Clinic",16,15,1,0,"Multnomah County",2010
"453","Home Birth (Planned)",264,247,17,0,"Multnomah County",2010
"454","Home Birth (Unplanned)",9,9,0,0,"Multnomah County",2010
"455","Other",9,8,0,0,"Multnomah County",2010
"456","Total Births",9,9,0,0,"Polk County",2010
"457","Home Birth (Planned)",8,8,0,0,"Polk County",2010
"458","Home Birth (Unplanned)",1,1,0,0,"Polk County",2010
"459","Total Births",2,2,0,0,"Sherman County",2010
"460","Home Birth (Planned)",2,2,0,0,"Sherman County",2010
"461","Total Births",171,111,1,59,"Tillamook County",2010
"462","General Hospital",163,103,1,59,"Tillamook County",2010
"463","Home Birth (Planned)",6,6,0,0,"Tillamook County",2010
"464","Other",2,2,0,0,"Tillamook County",2010
"465","Total Births",874,627,4,243,"Umatilla County",2010
"466","Good Shepherd Medical Center",541,389,3,149,"Umatilla County",2010
"467","St Anthony Hospital",323,229,0,94,"Umatilla County",2010
"468","Home Birth (Planned)",8,7,1,0,"Umatilla County",2010
"469","Other",2,2,0,0,"Umatilla County",2010
"470","Total Births",268,173,1,94,"Union County",2010
"471","Grande Ronde Hospital",256,162,0,94,"Union County",2010
"472","Home Birth (Planned)",12,11,1,0,"Union County",2010
"473","Total Births",57,41,1,15,"Wallowa County",2010
"474","Wallowa Memorial Hospital",52,37,0,15,"Wallowa County",2010
"475","Home Birth (Planned)",5,4,1,0,"Wallowa County",2010
"476","Total Births",291,196,1,94,"Wasco County",2010
"477","Mid-Columbia Medical Center",283,189,0,94,"Wasco County",2010
"478","Home Birth (Planned)",6,5,1,0,"Wasco County",2010
"479","Home Birth (Unplanned)",2,2,0,0,"Wasco County",2010
"480","Total Births",6970,4549,157,2264,"Washington County",2010
"481","Providence St Vincent Medical Center",5707,3589,130,1988,"Washington County",2010
"482","Tuality Community Hospital - Hillsboro",1131,834,21,276,"Washington County",2010
"483","Andaluz Waterbirth Center - Tualatin",49,47,2,0,"Washington County",2010
"484","Home Birth (Planned)",73,69,4,0,"Washington County",2010
"485","Home Birth (Unplanned)",7,7,0,0,"Washington County",2010
"486","Other",3,3,0,0,"Washington County",2010
"487","Total Births",1,1,0,0,"Wheeler County",2010
"488","Home Birth (Planned)",1,1,0,0,"Wheeler County",2010
"489","Total Births",1199,871,5,323,"Yamhill County",2010
"490","Providence Newberg Medical Center",566,403,1,162,"Yamhill County",2010
"491","Willamette Valley Medical Center",553,390,2,161,"Yamhill County",2010
"492","Bella Vie Gentle Birth Center",58,56,2,0,"Yamhill County",2010
"493","Home Birth (Planned)",21,21,0,0,"Yamhill County",2010
"494","Home Birth (Unplanned)",1,1,0,0,"Yamhill County",2010
"495","Total Births",45485,31437,903,13144,"State Total",2011
"496","Total Births",130,102,1,27,"Baker County",2011
"497","Saint Alphonsus Medical Center - Baker City",121,93,1,27,"Baker County",2011
"498","Home Birth (Planned)",9,9,0,0,"Baker County",2011
"499","Total Births",1116,856,40,220,"Benton County",2011
"500","Good Samaritan Regional Medical Center",1062,805,37,220,"Benton County",2011
"501","Home Birth (Planned)",53,50,3,0,"Benton County",2011
"502","Other",1,1,0,0,"Benton County",2011
"503","Total Births",4269,3076,101,1092,"Clackamas County",2011
"504","Kaiser Sunnyside Medical Center",1808,1361,65,382,"Clackamas County",2011
"505","Legacy Meridian Park Hospital",851,528,11,312,"Clackamas County",2011
"506","Providence Milwaukie Hospital",520,363,2,155,"Clackamas County",2011
"507","Providence Willamette Falls Medical Center",984,722,19,243,"Clackamas County",2011
"508","Home Birth (Planned)",97,93,4,0,"Clackamas County",2011
"509","Home Birth (Unplanned)",6,6,0,0,"Clackamas County",2011
"510","Other",3,3,0,0,"Clackamas County",2011
"511","Total Births",490,333,2,155,"Clatsop County",2011
"512","Columbia Memorial Hospital",332,217,2,113,"Clatsop County",2011
"513","Providence Seaside Hospital",151,109,0,42,"Clatsop County",2011
"514","Home Birth (Planned)",5,5,0,0,"Clatsop County",2011
"515","Other",2,2,0,0,"Clatsop County",2011
"516","Total Births",14,13,1,0,"Columbia County",2011
"517","Home Birth (Planned)",14,13,1,0,"Columbia County",2011
"518","Total Births",631,437,3,191,"Coos County",2011
"519","Bay Area Hospital",606,418,3,185,"Coos County",2011
"520","Coquille Valley Hospital",17,11,0,6,"Coos County",2011
"521","Home Birth (Planned)",8,8,0,0,"Coos County",2011
"522","Total Births",2,2,0,0,"Crook County",2011
"523","Pioneer Memorial Hospital (Prineville)",2,2,0,0,"Crook County",2011
"524","Total Births",74,55,4,15,"Curry County",2011
"525","Curry General Hospital",71,52,4,15,"Curry County",2011
"526","Home Birth (Planned)",3,3,0,0,"Curry County",2011
"527","Total Births",2059,1476,34,549,"Deschutes County",2011
"528","St Charles Medical Center - Bend",1661,1160,29,472,"Deschutes County",2011
"529","St Charles Medical Center - Redmond",325,247,1,77,"Deschutes County",2011
"530","Bend Birth Center",15,14,1,0,"Deschutes County",2011
"531","Motherwise Community Birth Center",33,32,1,0,"Deschutes County",2011
"532","Home Birth (Planned)",19,17,2,0,"Deschutes County",2011
"533","Home Birth (Unplanned)",4,4,0,0,"Deschutes County",2011
"534","Other",2,2,0,0,"Deschutes County",2011
"535","Total Births",933,683,8,242,"Douglas County",2011
"536","Mercy Medical Center",926,676,8,242,"Douglas County",2011
"537","Home Birth (Planned)",6,6,0,0,"Douglas County",2011
"538","Home Birth (Unplanned)",1,1,0,0,"Douglas County",2011
"539","Total Births",53,36,0,17,"Grant County",2011
"540","Blue Mountain Hospital District",48,31,0,17,"Grant County",2011
"541","Home Birth (Planned)",4,4,0,0,"Grant County",2011
"542","Other",1,1,0,0,"Grant County",2011
"543","Total Births",58,34,0,24,"Harney County",2011
"544","Harney District Hospital",57,33,0,24,"Harney County",2011
"545","Home Birth (Planned)",1,1,0,0,"Harney County",2011
"546","Total Births",408,289,1,118,"Hood River County",2011
"547","Providence Hood River Memorial Hospital",404,285,1,118,"Hood River County",2011
"548","Home Birth (Planned)",4,4,0,0,"Hood River County",2011
"549","Total Births",2502,1649,24,829,"Jackson County",2011
"550","Ashland Community Hospital",367,250,16,101,"Jackson County",2011
"551","Providence Medford Medical Center",517,375,1,141,"Jackson County",2011
"552","Rogue Valley Medical Center",1537,949,1,587,"Jackson County",2011
"553","Trillium Waterbirth Center",23,21,2,0,"Jackson County",2011
"554","Home Birth (Planned)",53,49,4,0,"Jackson County",2011
"555","Home Birth (Unplanned)",4,4,0,0,"Jackson County",2011
"556","Other",1,1,0,0,"Jackson County",2011
"557","Total Births",196,142,0,54,"Jefferson County",2011
"558","Mountain View Hospital District",193,139,0,54,"Jefferson County",2011
"559","Home Birth (Planned)",3,3,0,0,"Jefferson County",2011
"560","Total Births",738,573,4,161,"Josephine County",2011
"561","Three Rivers Community Hospital",705,540,4,161,"Josephine County",2011
"562","Home Birth (Planned)",23,23,0,0,"Josephine County",2011
"563","Home Birth (Unplanned)",3,3,0,0,"Josephine County",2011
"564","Other",7,7,0,0,"Josephine County",2011
"565","Total Births",845,593,4,248,"Klamath County",2011
"566","Sky Lakes Medical Center",839,587,4,248,"Klamath County",2011
"567","Home Birth (Planned)",5,5,0,0,"Klamath County",2011
"568","Other",1,1,0,0,"Klamath County",2011
"569","Total Births",61,40,0,21,"Lake County",2011
"570","Lake District Hospital",60,39,0,21,"Lake County",2011
"571","Other",1,1,0,0,"Lake County",2011
"572","Total Births",3746,2478,68,1200,"Lane County",2011
"573","McKenzie-Willamette Medical Center",591,414,0,177,"Lane County",2011
"574","Peace Harbor Hospital",56,42,0,14,"Lane County",2011
"575","Sacred Heart - River Bend",2863,1791,63,1009,"Lane County",2011
"576","Nurse Midwifery Birth Center",128,128,0,0,"Lane County",2011
"577","Sacred Waters Birthing Center",18,18,0,0,"Lane County",2011
"578","Home Birth (Planned)",82,78,4,0,"Lane County",2011
"579","Home Birth (Unplanned)",5,4,1,0,"Lane County",2011
"580","Other",3,3,0,0,"Lane County",2011
"581","Total Births",348,246,1,101,"Lincoln County",2011
"582","Samaritan North Lincoln Hospital",141,97,0,44,"Lincoln County",2011
"583","Samaritan Pacific Communities Hospital",183,126,0,57,"Lincoln County",2011
"584","Home Sweet Home Birth Center",10,10,0,0,"Lincoln County",2011
"585","Home Birth (Planned)",14,13,1,0,"Lincoln County",2011
"586","Total Births",962,697,11,254,"Linn County",2011
"587","Samaritan Albany General Hospital",596,412,9,175,"Linn County",2011
"588","Samaritan Lebanon Community Hospital",319,241,0,78,"Linn County",2011
"589","Growing Family Birth Center",13,12,1,0,"Linn County",2011
"590","Home Birth (Planned)",28,27,1,0,"Linn County",2011
"591","Home Birth (Unplanned)",3,2,0,1,"Linn County",2011
"592","Other",3,3,0,0,"Linn County",2011
"593","Total Births",590,395,4,191,"Malheur County",2011
"594","Saint Alphonsus Medical Center - Ontario",586,393,2,191,"Malheur County",2011
"595","Home Birth (Planned)",4,2,2,0,"Malheur County",2011
"596","Total Births",4999,3589,65,1345,"Marion County",2011
"597","Salem Hospital",3125,2126,6,993,"Marion County",2011
"598","Santiam Memorial Hospital",153,105,0,48,"Marion County",2011
"599","Silverton Hospital",1642,1282,56,304,"Marion County",2011
"600","Home Birth (Planned)",70,68,2,0,"Marion County",2011
"601","Home Birth (Unplanned)",4,3,1,0,"Marion County",2011
"602","Other",5,5,0,0,"Marion County",2011
"603","Total Births",6,5,0,0,"Morrow County",2011
"604","Home Birth (Planned)",6,5,0,0,"Morrow County",2011
"605","Total Births",10508,7014,346,3148,"Multnomah County",2011
"606","Adventist Medical Center",1166,828,2,336,"Multnomah County",2011
"607","Legacy Emanuel Hospital & Health Center",1906,1042,64,800,"Multnomah County",2011
"608","Legacy Good Samaritan Hospital & Medical Center",1154,786,8,360,"Multnomah County",2011
"609","Legacy Mt Hood Medical Center",1030,734,31,265,"Multnomah County",2011
"610","OHSU Hospitals & Clinics",2266,1427,183,656,"Multnomah County",2011
"611","Providence Portland Medical Center",2406,1635,40,731,"Multnomah County",2011
"612","Alma Midwifery Services",121,113,8,0,"Multnomah County",2011
"613","Andaluz Waterbirth Center - Portland",114,111,3,0,"Multnomah County",2011
"614","Natural Childbirth & Family Clinic",19,18,1,0,"Multnomah County",2011
"615","Clinic/Doctor’s Office",1,1,0,0,"Multnomah County",2011
"616","Home Birth (Planned)",298,293,5,0,"Multnomah County",2011
"617","Home Birth (Unplanned)",17,16,1,0,"Multnomah County",2011
"618","Other",10,10,0,0,"Multnomah County",2011
"619","Total Births",16,15,1,0,"Polk County",2011
"620","Home Birth (Planned)",15,14,1,0,"Polk County",2011
"621","Home Birth (Unplanned)",1,1,0,0,"Polk County",2011
"622","Total Births",171,117,0,54,"Tillamook County",2011
"623","General Hospital",162,108,0,54,"Tillamook County",2011
"624","Home Birth (Planned)",9,9,0,0,"Tillamook County",2011
"625","Total Births",840,584,3,253,"Umatilla County",2011
"626","Good Shepherd Medical Center",509,359,2,148,"Umatilla County",2011
"627","St Anthony Hospital",323,218,0,105,"Umatilla County",2011
"628","Home Birth (Planned)",8,7,1,0,"Umatilla County",2011
"629","Total Births",306,187,2,117,"Union County",2011
"630","Grande Ronde Hospital",285,168,0,117,"Union County",2011
"631","Home Birth (Planned)",21,19,2,0,"Union County",2011
"632","Total Births",51,32,0,19,"Wallowa County",2011
"633","Wallowa Memorial Hospital",50,31,0,19,"Wallowa County",2011
"634","Home Birth (Planned)",1,1,0,0,"Wallowa County",2011
"635","Total Births",283,188,0,95,"Wasco County",2011
"636","Mid-Columbia Medical Center",276,181,0,95,"Wasco County",2011
"637","Home Birth (Planned)",7,7,0,0,"Wasco County",2011
"638","Total Births",6872,4612,165,2095,"Washington County",2011
"639","Providence St Vincent Medical Center",5645,3670,134,1841,"Washington County",2011
"640","Tuality Community Hospital - Hillsboro",1088,809,25,254,"Washington County",2011
"641","Andaluz Waterbirth Center - Tualatin",43,41,2,0,"Washington County",2011
"642","Clinic/Doctor’s Office",1,1,0,0,"Washington County",2011
"643","Home Birth (Planned)",85,81,4,0,"Washington County",2011
"644","Home Birth (Unplanned)",7,7,0,0,"Washington County",2011
"645","Other",3,3,0,0,"Washington County",2011
"646","Total Births",2,2,0,0,"Wheeler County",2011
"647","Home Birth (Planned)",2,2,0,0,"Wheeler County",2011
"648","Total Births",1205,886,10,309,"Yamhill County",2011
"649","Providence Newberg Medical Center",570,415,2,153,"Yamhill County",2011
"650","Willamette Valley Medical Center",550,390,4,156,"Yamhill County",2011
"651","Bella Vie Gentle Birth Center",64,60,4,0,"Yamhill County",2011
"652","Home Birth (Planned)",20,20,0,0,"Yamhill County",2011
"653","Other",1,1,0,0,"Yamhill County",2011
"654","Total Births",45566,31651,988,12926,"State Total",2012
"655","Total Births",146,104,2,40,"Baker County",2012
"656","Saint Alphonsus Medical Center - Baker City",139,98,1,40,"Baker County",2012
"657","Home Birth (Planned)",7,6,1,0,"Baker County",2012
"658","Total Births",1100,841,30,229,"Benton County",2012
"659","Good Samaritan Regional Medical Center",1043,787,27,229,"Benton County",2012
"660","Home Birth (Planned)",54,51,3,0,"Benton County",2012
"661","Home Birth (Unplanned)",1,1,0,0,"Benton County",2012
"662","Other",2,2,0,0,"Benton County",2012
"663","Total Births",4585,3345,102,1138,"Clackamas County",2012
"664","Kaiser Sunnyside Medical Center",2055,1548,65,442,"Clackamas County",2012
"665","Legacy Meridian Park Hospital",960,635,12,313,"Clackamas County",2012
"666","Providence Milwaukie Hospital",518,370,2,146,"Clackamas County",2012
"667","Providence Willamette Falls Medical Center",951,696,18,237,"Clackamas County",2012
"668","Home Birth (Planned)",96,91,5,0,"Clackamas County",2012
"669","Home Birth (Unplanned)",2,2,0,0,"Clackamas County",2012
"670","Other",3,3,0,0,"Clackamas County",2012
"671","Total Births",487,343,3,141,"Clatsop County",2012
"672","Columbia Memorial Hospital",331,223,2,106,"Clatsop County",2012
"673","Providence Seaside Hospital",146,111,0,35,"Clatsop County",2012
"674","Home Birth (Planned)",8,7,1,0,"Clatsop County",2012
"675","Other",2,2,0,0,"Clatsop County",2012
"676","Total Births",10,10,0,0,"Columbia County",2012
"677","Home Birth (Planned)",10,10,0,0,"Columbia County",2012
"678","Total Births",695,495,11,189,"Coos County",2012
"679","Bay Area Hospital",662,466,11,185,"Coos County",2012
"680","Coquille Valley Hospital",23,19,0,4,"Coos County",2012
"681","Home Birth (Planned)",9,9,0,0,"Coos County",2012
"682","Home Birth (Unplanned)",1,1,0,0,"Coos County",2012
"683","Total Births",2,2,0,0,"Crook County",2012
"684","Home Birth (Planned)",2,2,0,0,"Crook County",2012
"685","Total Births",70,52,1,17,"Curry County",2012
"686","Curry General Hospital",65,47,1,17,"Curry County",2012
"687","Home Birth (Planned)",4,4,0,0,"Curry County",2012
"688","Other",1,1,0,0,"Curry County",2012
"689","Total Births",1986,1379,35,572,"Deschutes County",2012
"690","St Charles Medical Center - Bend",1540,1029,32,479,"Deschutes County",2012
"691","St Charles Medical Center - Redmond",358,265,0,93,"Deschutes County",2012
"692","Bend Birth Center",17,16,1,0,"Deschutes County",2012
"693","Motherwise Community Birth Center",37,37,0,0,"Deschutes County",2012
"694","Home Birth (Planned)",31,29,2,0,"Deschutes County",2012
"695","Home Birth (Unplanned)",1,1,0,0,"Deschutes County",2012
"696","Other",2,2,0,0,"Deschutes County",2012
"697","Total Births",936,696,7,233,"Douglas County",2012
"698","Mercy Medical Center",924,685,6,233,"Douglas County",2012
"699","Home Birth (Planned)",12,11,1,0,"Douglas County",2012
"700","Total Births",50,34,2,14,"Grant County",2012
"701","Blue Mountain Hospital District",44,29,1,14,"Grant County",2012
"702","Home Birth (Planned)",4,3,1,0,"Grant County",2012
"703","Other",2,2,0,0,"Grant County",2012
"704","Total Births",57,39,0,18,"Harney County",2012
"705","Harney District Hospital",56,38,0,18,"Harney County",2012
"706","Home Birth (Planned)",1,1,0,0,"Harney County",2012
"707","Total Births",443,347,0,96,"Hood River County",2012
"708","Providence Hood River Memorial Hospital",438,342,0,96,"Hood River County",2012
"709","Home Birth (Planned)",5,5,0,0,"Hood River County",2012
"710","Total Births",2443,1605,36,802,"Jackson County",2012
"711","Ashland Community Hospital",335,237,18,80,"Jackson County",2012
"712","Providence Medford Medical Center",499,346,2,151,"Jackson County",2012
"713","Rogue Valley Medical Center",1498,920,7,571,"Jackson County",2012
"714","Trillium Birth Center - Medford",47,40,7,0,"Jackson County",2012
"715","Home Birth (Planned)",61,59,2,0,"Jackson County",2012
"716","Home Birth (Unplanned)",1,1,0,0,"Jackson County",2012
"717","Other",2,2,0,0,"Jackson County",2012
"718","Total Births",158,118,0,40,"Jefferson County",2012
"719","Mountain View Hospital District",155,115,0,40,"Jefferson County",2012
"720","Clinic/Doctor’s Office",1,1,0,0,"Jefferson County",2012
"721","Home Birth (Planned)",2,2,0,0,"Jefferson County",2012
"722","Total Births",771,594,5,172,"Josephine County",2012
"723","Three Rivers Community Hospital",738,564,2,172,"Josephine County",2012
"724","Home Birth (Planned)",29,26,3,0,"Josephine County",2012
"725","Home Birth (Unplanned)",3,3,0,0,"Josephine County",2012
"726","Other",1,1,0,0,"Josephine County",2012
"727","Total Births",777,578,5,194,"Klamath County",2012
"728","Sky Lakes Medical Center",771,572,5,194,"Klamath County",2012
"729","Home Birth (Planned)",2,2,0,0,"Klamath County",2012
"730","Home Birth (Unplanned)",3,3,0,0,"Klamath County",2012
"731","Other",1,1,0,0,"Klamath County",2012
"732","Total Births",62,45,0,17,"Lake County",2012
"733","Lake District Hospital",62,45,0,17,"Lake County",2012
"734","Total Births",3737,2490,59,1188,"Lane County",2012
"735","McKenzie-Willamette Medical Center",616,414,0,202,"Lane County",2012
"736","Peace Harbor MC",62,48,0,14,"Lane County",2012
"737","Sacred Heart - River Bend",2806,1781,53,972,"Lane County",2012
"738","Nurse Midwifery Birth Center",132,132,0,0,"Lane County",2012
"739","Sacred Waters Birthing Center",15,13,2,0,"Lane County",2012
"740","Home Birth (Planned)",100,96,4,0,"Lane County",2012
"741","Home Birth (Unplanned)",2,2,0,0,"Lane County",2012
"742","Other",4,4,0,0,"Lane County",2012
"743","Total Births",384,256,2,126,"Lincoln County",2012
"744","Samaritan North Lincoln Hospital",150,97,0,53,"Lincoln County",2012
"745","Samaritan Pacific Communities Hospital",199,125,1,73,"Lincoln County",2012
"746","Home Sweet Home Birth Center",17,17,0,0,"Lincoln County",2012
"747","Freestanding Birth Center",1,0,1,0,"Lincoln County",2012
"748","Home Birth (Planned)",17,17,0,0,"Lincoln County",2012
"749","Total Births",957,720,10,227,"Linn County",2012
"750","Samaritan Albany General Hospital",589,422,4,163,"Linn County",2012
"751","Samaritan Lebanon Community Hospital",305,240,1,64,"Linn County",2012
"752","Growing Family Birth Center LLC",14,14,0,0,"Linn County",2012
"753","Home Birth (Planned)",45,42,3,0,"Linn County",2012
"754","Home Birth (Unplanned)",3,2,1,0,"Linn County",2012
"755","Other",1,0,1,0,"Linn County",2012
"756","Total Births",585,380,1,204,"Malheur County",2012
"757","Saint Alphonsus Medical Center - Ontario",583,378,1,204,"Malheur County",2012
"758","Home Birth (Planned)",2,2,0,0,"Malheur County",2012
"759","Total Births",4991,3643,75,1273,"Marion County",2012
"760","Salem Hospital",3138,2201,15,922,"Marion County",2012
"761","Santiam Memorial Hospital",154,114,0,40,"Marion County",2012
"762","Silverton Hospital",1625,1260,54,311,"Marion County",2012
"763","Freestanding Birth Center",1,1,0,0,"Marion County",2012
"764","Home Birth (Planned)",63,58,5,0,"Marion County",2012
"765","Home Birth (Unplanned)",6,5,1,0,"Marion County",2012
"766","Other",4,4,0,0,"Marion County",2012
"767","Total Births",2,2,0,0,"Morrow County",2012
"768","Home Birth (Planned)",2,2,0,0,"Morrow County",2012
"769","Total Births",10566,7075,376,3115,"Multnomah County",2012
"770","Adventist Medical Center",1071,762,4,305,"Multnomah County",2012
"771","Legacy Emanuel Hospital & Health Center",1966,1069,70,827,"Multnomah County",2012
"772","Legacy Good Samaritan Hospital & Medical Center",1030,712,15,303,"Multnomah County",2012
"773","Legacy Mt Hood Medical Center",964,707,27,230,"Multnomah County",2012
"774","OHSU Hospitals & Clinics",2435,1601,191,643,"Multnomah County",2012
"775","Providence Portland Medical Center",2535,1676,52,807,"Multnomah County",2012
"776","Alma Midwifery Services",116,115,1,0,"Multnomah County",2012
"777","Andaluz Waterbirth Center - Portland",93,93,0,0,"Multnomah County",2012
"778","Natural Childbirth & Family Clinic",20,19,1,0,"Multnomah County",2012
"779","Freestanding Birth Center",1,1,0,0,"Multnomah County",2012
"780","Home Birth (Planned)",316,301,15,0,"Multnomah County",2012
"781","Home Birth (Unplanned)",9,9,0,0,"Multnomah County",2012
"782","Home Birth (Unknown if Planned)",1,1,0,0,"Multnomah County",2012
"783","Other",9,9,0,0,"Multnomah County",2012
"784","Total Births",12,11,1,0,"Polk County",2012
"785","Home Birth (Planned)",11,10,1,0,"Polk County",2012
"786","Home Birth (Unplanned)",1,1,0,0,"Polk County",2012
"787","Total Births",187,119,4,64,"Tillamook County",2012
"788","General Hospital",177,109,4,64,"Tillamook County",2012
"789","Home Birth (Planned)",10,10,0,0,"Tillamook County",2012
"790","Total Births",848,609,9,230,"Umatilla County",2012
"791","Good Shepherd Medical Center",498,352,5,141,"Umatilla County",2012
"792","St Anthony Hospital",341,250,2,89,"Umatilla County",2012
"793","Home Birth (Planned)",9,7,2,0,"Umatilla County",2012
"794","Total Births",271,163,2,106,"Union County",2012
"795","Grande Ronde Hospital",261,154,1,106,"Union County",2012
"796","Home Birth (Planned)",9,8,1,0,"Union County",2012
"797","Other",1,1,0,0,"Union County",2012
"798","Total Births",50,37,1,12,"Wallowa County",2012
"799","Wallowa Memorial Hospital",44,31,1,12,"Wallowa County",2012
"800","Home Birth (Planned)",6,6,0,0,"Wallowa County",2012
"801","Total Births",303,207,1,95,"Wasco County",2012
"802","Mid-Columbia Medical Center",300,204,1,95,"Wasco County",2012
"803","Home Birth (Planned)",2,2,0,0,"Wasco County",2012
"804","Home Birth (Unplanned)",1,1,0,0,"Wasco County",2012
"805","Total Births",6751,4483,197,2071,"Washington County",2012
"806","Providence St Vincent Medical Center",5675,3671,175,1829,"Washington County",2012
"807","Tuality Community Hospital - Hillsboro",933,677,14,242,"Washington County",2012
"808","Andaluz Waterbirth Center - Tualatin",43,42,1,0,"Washington County",2012
"809","Home Birth (Planned)",88,81,7,0,"Washington County",2012
"810","Home Birth (Unplanned)",10,10,0,0,"Washington County",2012
"811","Other",2,2,0,0,"Washington County",2012
"812","Total Births",1143,829,11,303,"Yamhill County",2012
"813","Providence Newberg Medical Center",531,378,0,153,"Yamhill County",2012
"814","Willamette Valley Medical Center",528,370,8,150,"Yamhill County",2012
"815","Bella Vie Gentle Birth Center",58,55,3,0,"Yamhill County",2012
"816","Home Birth (Planned)",25,25,0,0,"Yamhill County",2012
"817","Home Birth (Unknown if Planned)",1,1,0,0,"Yamhill County",2012
"818","Total births",45591,31752,1068,12771,"State total",2013
"819","Total births",153,118,1,34,"Baker County",2013
"820","Saint Alphonsus Medical Center - Baker City",146,112,0,34,"Baker County",2013
"821","Home birth (planned)",7,6,1,0,"Baker County",2013
"822","Total births",1017,768,28,221,"Benton County",2013
"823","Good Samaritan Regional Medical Center",987,738,28,221,"Benton County",2013
"824","Home birth (planned)",30,30,0,0,"Benton County",2013
"825","Total births",4532,3285,100,1147,"Clackamas County",2013
"826","Kaiser Sunnyside Medical Center",2119,1593,57,469,"Clackamas County",2013
"827","Legacy Meridian Park Hospital",1027,662,19,346,"Clackamas County",2013
"828","Providence Milwaukie Hospital",136,94,0,42,"Clackamas County",2013
"829","Providence Willamette Falls Medical Center",1146,835,21,290,"Clackamas County",2013
"830","Home birth (planned)",97,95,2,0,"Clackamas County",2013
"831","Home birth (unplanned)",4,4,0,0,"Clackamas County",2013
"832","Home birth (unknown if planned)",1,1,0,0,"Clackamas County",2013
"833","Other",2,1,1,0,"Clackamas County",2013
"834","Total births",420,309,0,111,"Clatsop County",2013
"835","Columbia Memorial Hospital",322,233,0,89,"Clatsop County",2013
"836","Providence Seaside Hospital",94,72,0,22,"Clatsop County",2013
"837","Home birth (planned)",4,4,0,0,"Clatsop County",2013
"838","Total births",10,10,0,0,"Columbia County",2013
"839","Home birth (planned)",10,10,0,0,"Columbia County",2013
"840","Total births",678,484,5,189,"Coos County",2013
"841","Bay Area Hospital",662,469,5,188,"Coos County",2013
"842","Coquille Valley Hospital",8,7,0,1,"Coos County",2013
"843","Home birth (planned)",6,6,0,0,"Coos County",2013
"844","Home birth (unplanned)",2,2,0,0,"Coos County",2013
"845","Total births",1,1,0,0,"Crook County",2013
"846","Home birth (planned)",1,1,0,0,"Crook County",2013
"847","Total births",35,29,0,6,"Curry County",2013
"848","Curry General Hospital",29,23,0,6,"Curry County",2013
"849","Home birth (planned)",4,4,0,0,"Curry County",2013
"850","Home birth (unplanned)",2,2,0,0,"Curry County",2013
"851","Total births",2116,1504,32,580,"Deschutes County",2013
"852","St Charles Medical Center - Bend",1675,1151,30,494,"Deschutes County",2013
"853","St Charles Medical Center - Redmond",370,283,1,86,"Deschutes County",2013
"854","Bend Birth Center",28,28,0,0,"Deschutes County",2013
"855","Motherwise Community Birth Center",11,11,0,0,"Deschutes County",2013
"856","Home birth (planned)",29,28,1,0,"Deschutes County",2013
"857","Home birth (unplanned)",3,3,0,0,"Deschutes County",2013
"858","Total births",908,685,15,208,"Douglas County",2013
"859","Mercy Medical Center",893,671,14,208,"Douglas County",2013
"860","Home birth (planned)",12,11,1,0,"Douglas County",2013
"861","Home birth (unplanned)",2,2,0,0,"Douglas County",2013
"862","Other",1,1,0,0,"Douglas County",2013
"863","Total births",52,38,1,13,"Grant County",2013
"864","Blue Mountain Hospital District",43,30,0,13,"Grant County",2013
"865","Home birth (planned)",4,4,0,0,"Grant County",2013
"866","Other",5,4,1,0,"Grant County",2013
"867","Total births",67,42,0,25,"Harney County",2013
"868","Harney District Hospital",66,41,0,25,"Harney County",2013
"869","Home birth (unplanned)",1,1,0,0,"Harney County",2013
"870","Total births",467,352,6,109,"Hood River County",2013
"871","Providence Hood River Memorial Hospital",460,345,6,109,"Hood River County",2013
"872","Home birth (planned)",5,5,0,0,"Hood River County",2013
"873","Home birth (unplanned)",1,1,0,0,"Hood River County",2013
"874","Other",1,1,0,0,"Hood River County",2013
"875","Total births",2486,1663,29,794,"Jackson County",2013
"876","Asante Ashland Community Hospital",309,212,15,82,"Jackson County",2013
"877","Providence Medford Medical Center",517,356,3,158,"Jackson County",2013
"878","Rogue Valley Medical Center",1545,982,9,554,"Jackson County",2013
"879","Trillium Birth Center - Medford",51,50,1,0,"Jackson County",2013
"880","Kalista Birth Sanctuary",1,1,0,0,"Jackson County",2013
"881","Home birth (planned)",57,56,1,0,"Jackson County",2013
"882","Home birth (unplanned)",3,3,0,0,"Jackson County",2013
"883","Home birth (unknown if planned)",1,1,0,0,"Jackson County",2013
"884","Other",2,2,0,0,"Jackson County",2013
"885","Total births",182,114,0,68,"Jefferson County",2013
"886","St Charles - Madras",180,112,0,68,"Jefferson County",2013
"887","Home birth (planned)",2,2,0,0,"Jefferson County",2013
"888","Total births",806,649,4,153,"Josephine County",2013
