facility,total,vaginal,vbac,cesarean,county,year
Providence Seaside Hospital,151,109,0,42,Clatsop County,2011
Home Birth (Planned),5,5,0,0,Clatsop County,2011
Other,2,2,0,0,Clatsop County,2011
Total Births,14,13,1,0,Columbia County,2011
Home Birth (Planned),14,13,1,0,Columbia County,2011
Total Births,631,437,3,191,Coos County,2011
Bay Area Hospital,606,418,3,185,Coos County,2011
Coquille Valley Hospital,17,11,0,6,Coos County,2011
Home Birth (Planned),8,8,0,0,Coos County,2011
Total Births,2,2,0,0,Crook County,2011
Pioneer Memorial Hospital (Prineville),2,2,0,0,Crook County,2011
Total Births,74,55,4,15,Curry County,2011
Curry General Hospital,71,52,4,15,Curry County,2011
Home Birth (Planned),3,3,0,0,Curry County,2011
Total Births,2059,1476,34,549,Deschutes County,2011
St Charles Medical Center - Bend,1661,1160,29,472,Deschutes County,2011
St Charles Medical Center - Redmond,325,247,1,77,Deschutes County,2011
Bend Birth Center,15,14,1,0,Deschutes County,2011
Motherwise Community Birth Center,33,32,1,0,Deschutes County,2011
Home Birth (Planned),19,17,2,0,Deschutes County,2011
Home Birth (Unplanned),4,4,0,0,Deschutes County,2011
Other,2,2,0,0,Deschutes County,2011
Total Births,933,683,8,242,Douglas County,2011
Mercy Medical Center,926,676,8,242,Douglas County,2011
Home Birth (Planned),6,6,0,0,Douglas County,2011
Home Birth (Unplanned),1,1,0,0,Douglas County,2011
Total Births,53,36,0,17,Grant County,2011
Blue Mountain Hospital District,48,31,0,17,Grant County,2011
Home Birth (Planned),4,4,0,0,Grant County,2011
Other,1,1,0,0,Grant County,2011
Total Births,58,34,0,24,Harney County,2011
Harney District Hospital,57,33,0,24,Harney County,2011
Home Birth (Planned),1,1,0,0,Harney County,2011
Total Births,408,289,1,118,Hood River County,2011
Providence Hood River Memorial Hospital,404,285,1,118,Hood River County,2011
Home Birth (Planned),4,4,0,0,Hood River County,2011
Total Births,2502,1649,24,829,Jackson County,2011
Ashland Community Hospital,367,250,16,101,Jackson County,2011
Providence Medford Medical Center,517,375,1,141,Jackson County,2011
Rogue Valley Medical Center,1537,949,1,587,Jackson County,2011
Trillium Waterbirth Center,23,21,2,0,Jackson County,2011
Home Birth (Planned),53,49,4,0,Jackson County,2011
Home Birth (Unplanned),4,4,0,0,Jackson County,2011
Other,1,1,0,0,Jackson County,2011
Total Births,196,142,0,54,Jefferson County,2011
Mountain View Hospital District,193,139,0,54,Jefferson County,2011
Home Birth (Planned),3,3,0,0,Jefferson County,2011
Total Births,738,573,4,161,Josephine County,2011
Three Rivers Community Hospital,705,540,4,161,Josephine County,2011
Home Birth (Planned),23,23,0,0,Josephine County,2011
Home Birth (Unplanned),3,3,0,0,Josephine County,2011
Other,7,7,0,0,Josephine County,2011
Total Births,845,593,4,248,Klamath County,2011
Sky Lakes Medical Center,839,587,4,248,Klamath County,2011
Home Birth (Planned),5,5,0,0,Klamath County,2011
Other,1,1,0,0,Klamath County,2011
Total Births,61,40,0,21,Lake County,2011
Lake District Hospital,60,39,0,21,Lake County,2011
Other,1,1,0,0,Lake County,2011
Total Births,3746,2478,68,1200,Lane County,2011
McKenzie-Willamette Medical Center,591,414,0,177,Lane County,2011
Peace Harbor Hospital,56,42,0,14,Lane County,2011
Sacred Heart - River Bend,2863,1791,63,1009,Lane County,2011
Nurse Midwifery Birth Center,128,128,0,0,Lane County,2011
Sacred Waters Birthing Center,18,18,0,0,Lane County,2011
Home Birth (Planned),82,78,4,0,Lane County,2011
Home Birth (Unplanned),5,4,1,0,Lane County,2011
Other,3,3,0,0,Lane County,2011
Total Births,348,246,1,101,Lincoln County,2011
Samaritan North Lincoln Hospital,141,97,0,44,Lincoln County,2011
Samaritan Pacific Communities Hospital,183,126,0,57,Lincoln County,2011
Home Sweet Home Birth Center,10,10,0,0,Lincoln County,2011
Home Birth (Planned),14,13,1,0,Lincoln County,2011
Total Births,962,697,11,254,Linn County,2011
Samaritan Albany General Hospital,596,412,9,175,Linn County,2011
Samaritan Lebanon Community Hospital,319,241,0,78,Linn County,2011
Growing Family Birth Center,13,12,1,0,Linn County,2011
Home Birth (Planned),28,27,1,0,Linn County,2011
Home Birth (Unplanned),3,2,0,1,Linn County,2011
Other,3,3,0,0,Linn County,2011
Total Births,590,395,4,191,Malheur County,2011
Saint Alphonsus Medical Center - Ontario,586,393,2,191,Malheur County,2011
Home Birth (Planned),4,2,2,0,Malheur County,2011
Total Births,4999,3589,65,1345,Marion County,2011
Salem Hospital,3125,2126,6,993,Marion County,2011
Santiam Memorial Hospital,153,105,0,48,Marion County,2011
Silverton Hospital,1642,1282,56,304,Marion County,2011
Home Birth (Planned),70,68,2,0,Marion County,2011
Home Birth (Unplanned),4,3,1,0,Marion County,2011
Other,5,5,0,0,Marion County,2011
Total Births,6,5,0,0,Morrow County,2011
Home Birth (Planned),6,5,0,0,Morrow County,2011
Total Births,10508,7014,346,3148,Multnomah County,2011
Adventist Medical Center,1166,828,2,336,Multnomah County,2011
Legacy Emanuel Hospital & Health Center,1906,1042,64,800,Multnomah County,2011
Legacy Good Samaritan Hospital & Medical Center,1154,786,8,360,Multnomah County,2011
Legacy Mt Hood Medical Center,1030,734,31,265,Multnomah County,2011
OHSU Hospitals & Clinics,2266,1427,183,656,Multnomah County,2011
Providence Portland Medical Center,2406,1635,40,731,Multnomah County,2011
Alma Midwifery Services,121,113,8,0,Multnomah County,2011
Andaluz Waterbirth Center - Portland,114,111,3,0,Multnomah County,2011
Natural Childbirth & Family Clinic,19,18,1,0,Multnomah County,2011
Clinic/Doctor's Office,1,1,0,0,Multnomah County,2011
Home Birth (Planned),298,293,5,0,Multnomah County,2011
Home Birth (Unplanned),17,16,1,0,Multnomah County,2011
Other,10,10,0,0,Multnomah County,2011
Total Births,16,15,1,0,Polk County,2011
Home Birth (Planned),15,14,1,0,Polk County,2011
Home Birth (Unplanned),1,1,0,0,Polk County,2011
Total Births,171,117,0,54,Tillamook County,2011
General Hospital,162,108,0,54,Tillamook County,2011
Home Birth (Planned),9,9,0,0,Tillamook County,2011
Total Births,840,584,3,253,Umatilla County,2011
Good Shepherd Medical Center,509,359,2,148,Umatilla County,2011
St Anthony Hospital,323,218,0,105,Umatilla County,2011
Home Birth (Planned),8,7,1,0,Umatilla County,2011
Total Births,306,187,2,117,Union County,2011
Grande Ronde Hospital,285,168,0,117,Union County,2011
Home Birth (Planned),21,19,2,0,Union County,2011
Total Births,51,32,0,19,Wallowa County,2011
Wallowa Memorial Hospital,50,31,0,19,Wallowa County,2011
Home Birth (Planned),1,1,0,0,Wallowa County,2011
Total Births,283,188,0,95,Wasco County,2011
Mid-Columbia Medical Center,276,181,0,95,Wasco County,2011
Home Birth (Planned),7,7,0,0,Wasco County,2011
Total Births,6872,4612,165,2095,Washington County,2011
Providence St Vincent Medical Center,5645,3670,134,1841,Washington County,2011
Tuality Community Hospital - Hillsboro,1088,809,25,254,Washington County,2011
Andaluz Waterbirth Center - Tualatin,43,41,2,0,Washington County,2011
Clinic/Doctor's Office,1,1,0,0,Washington County,2011
Home Birth (Planned),85,81,4,0,Washington County,2011
Home Birth (Unplanned),7,7,0,0,Washington County,2011
Other,3,3,0,0,Washington County,2011
Total Births,2,2,0,0,Wheeler County,2011
Home Birth (Planned),2,2,0,0,Wheeler County,2011
Total Births,1205,886,10,309,Yamhill County,2011
Providence Newberg Medical Center,570,415,2,153,Yamhill County,2011
Willamette Valley Medical Center,550,390,4,156,Yamhill County,2011
Bella Vie Gentle Birth Center,64,60,4,0,Yamhill County,2011
Home Birth (Planned),20,20,0,0,Yamhill County,2011
Other,1,1,0,0,Yamhill County,2011
Total Births,45566,31651,988,12926,State Total,2012
Total Births,146,104,2,40,Baker County,2012
Saint Alphonsus Medical Center - Baker City,139,98,1,40,Baker County,2012
Home Birth (Planned),7,6,1,0,Baker County,2012
Total Births,1100,841,30,229,Benton County,2012
Good Samaritan Regional Medical Center,1043,787,27,229,Benton County,2012
Home Birth (Planned),54,51,3,0,Benton County,2012
Home Birth (Unplanned),1,1,0,0,Benton County,2012
Other,2,2,0,0,Benton County,2012
Total Births,4585,3345,102,1138,Clackamas County,2012
Kaiser Sunnyside Medical Center,2055,1548,65,442,Clackamas County,2012
Legacy Meridian Park Hospital,960,635,12,313,Clackamas County,2012
Providence Milwaukie Hospital,518,370,2,146,Clackamas County,2012
Providence Willamette Falls Medical Center,951,696,18,237,Clackamas County,2012
Home Birth (Planned),96,91,5,0,Clackamas County,2012
Home Birth (Unplanned),2,2,0,0,Clackamas County,2012
Other,3,3,0,0,Clackamas County,2012
Total Births,487,343,3,141,Clatsop County,2012
Columbia Memorial Hospital,331,223,2,106,Clatsop County,2012
Providence Seaside Hospital,146,111,0,35,Clatsop County,2012
Home Birth (Planned),8,7,1,0,Clatsop County,2012
Other,2,2,0,0,Clatsop County,2012
Total Births,10,10,0,0,Columbia County,2012
Home Birth (Planned),10,10,0,0,Columbia County,2012
Total Births,695,495,11,189,Coos County,2012
Bay Area Hospital,662,466,11,185,Coos County,2012
Coquille Valley Hospital,23,19,0,4,Coos County,2012
Home Birth (Planned),9,9,0,0,Coos County,2012
Home Birth (Unplanned),1,1,0,0,Coos County,2012
Total Births,2,2,0,0,Crook County,2012
Home Birth (Planned),2,2,0,0,Crook County,2012
Total Births,70,52,1,17,Curry County,2012
Curry General Hospital,65,47,1,17,Curry County,2012
Home Birth (Planned),4,4,0,0,Curry County,2012
Other,1,1,0,0,Curry County,2012
Total Births,1986,1379,35,572,Deschutes County,2012
St Charles Medical Center - Bend,1540,1029,32,479,Deschutes County,2012
St Charles Medical Center - Redmond,358,265,0,93,Deschutes County,2012
Bend Birth Center,17,16,1,0,Deschutes County,2012
Motherwise Community Birth Center,37,37,0,0,Deschutes County,2012
Home Birth (Planned),31,29,2,0,Deschutes County,2012
Home Birth (Unplanned),1,1,0,0,Deschutes County,2012
Other,2,2,0,0,Deschutes County,2012
Total Births,936,696,7,233,Douglas County,2012
Mercy Medical Center,924,685,6,233,Douglas County,2012
Home Birth (Planned),12,11,1,0,Douglas County,2012
Total Births,50,34,2,14,Grant County,2012
Blue Mountain Hospital District,44,29,1,14,Grant County,2012
Home Birth (Planned),4,3,1,0,Grant County,2012
Other,2,2,0,0,Grant County,2012
Total Births,57,39,0,18,Harney County,2012
Harney District Hospital,56,38,0,18,Harney County,2012
Home Birth (Planned),1,1,0,0,Harney County,2012
Total Births,443,347,0,96,Hood River County,2012
Providence Hood River Memorial Hospital,438,342,0,96,Hood River County,2012
Home Birth (Planned),5,5,0,0,Hood River County,2012
Total Births,2443,1605,36,802,Jackson County,2012
Ashland Community Hospital,335,237,18,80,Jackson County,2012
Providence Medford Medical Center,499,346,2,151,Jackson County,2012
Rogue Valley Medical Center,1498,920,7,571,Jackson County,2012
Trillium Birth Center - Medford,47,40,7,0,Jackson County,2012
Home Birth (Planned),61,59,2,0,Jackson County,2012
Home Birth (Unplanned),1,1,0,0,Jackson County,2012
Other,2,2,0,0,Jackson County,2012
Total Births,158,118,0,40,Jefferson County,2012
Mountain View Hospital District,155,115,0,40,Jefferson County,2012
Clinic/Doctor's Office,1,1,0,0,Jefferson County,2012
Home Birth (Planned),2,2,0,0,Jefferson County,2012
Total Births,771,594,5,172,Josephine County,2012
Three Rivers Community Hospital,738,564,2,172,Josephine County,2012
Home Birth (Planned),29,26,3,0,Josephine County,2012
Home Birth (Unplanned),3,3,0,0,Josephine County,2012
Other,1,1,0,0,Josephine County,2012
Total Births,777,578,5,194,Klamath County,2012
Sky Lakes Medical Center,771,572,5,194,Klamath County,2012
Home Birth (Planned),2,2,0,0,Klamath County,2012
Home Birth (Unplanned),3,3,0,0,Klamath County,2012
Other,1,1,0,0,Klamath County,2012
Total Births,62,45,0,17,Lake County,2012
Lake District Hospital,62,45,0,17,Lake County,2012
Total Births,3737,2490,59,1188,Lane County,2012
McKenzie-Willamette Medical Center,616,414,0,202,Lane County,2012
Peace Harbor MC,62,48,0,14,Lane County,2012
Sacred Heart - River Bend,2806,1781,53,972,Lane County,2012
Nurse Midwifery Birth Center,132,132,0,0,Lane County,2012
Sacred Waters Birthing Center,15,13,2,0,Lane County,2012
Home Birth (Planned),100,96,4,0,Lane County,2012
Home Birth (Unplanned),2,2,0,0,Lane County,2012
Other,4,4,0,0,Lane County,2012
Total Births,384,256,2,126,Lincoln County,2012
Samaritan North Lincoln Hospital,150,97,0,53,Lincoln County,2012
Samaritan Pacific Communities Hospital,199,125,1,73,Lincoln County,2012
Home Sweet Home Birth Center,17,17,0,0,Lincoln County,2012
Freestanding Birth Center,1,0,1,0,Lincoln County,2012
Home Birth (Planned),17,17,0,0,Lincoln County,2012
Total Births,957,720,10,227,Linn County,2012
Samaritan Albany General Hospital,589,422,4,163,Linn County,2012
Samaritan Lebanon Community Hospital,305,240,1,64,Linn County,2012
Growing Family Birth Center LLC,14,14,0,0,Linn County,2012
Home Birth (Planned),45,42,3,0,Linn County,2012
Home Birth (Unplanned),3,2,1,0,Linn County,2012
Other,1,0,1,0,Linn County,2012
Total Births,585,380,1,204,Malheur County,2012
Saint Alphonsus Medical Center - Ontario,583,378,1,204,Malheur County,2012
Home Birth (Planned),2,2,0,0,Malheur County,2012
Total Births,4991,3643,75,1273,Marion County,2012
Salem Hospital,3138,2201,15,922,Marion County,2012
Santiam Memorial Hospital,154,114,0,40,Marion County,2012
Silverton Hospital,1625,1260,54,311,Marion County,2012
Freestanding Birth Center,1,1,0,0,Marion County,2012
Home Birth (Planned),63,58,5,0,Marion County,2012
Home Birth (Unplanned),6,5,1,0,Marion County,2012
Other,4,4,0,0,Marion County,2012
Total Births,2,2,0,0,Morrow County,2012
Home Birth (Planned),2,2,0,0,Morrow County,2012
Total Births,10566,7075,376,3115,Multnomah County,2012
Adventist Medical Center,1071,762,4,305,Multnomah County,2012
Legacy Emanuel Hospital & Health Center,1966,1069,70,827,Multnomah County,2012
Legacy Good Samaritan Hospital & Medical Center,1030,712,15,303,Multnomah County,2012
Legacy Mt Hood Medical Center,964,707,27,230,Multnomah County,2012
OHSU Hospitals & Clinics,2435,1601,191,643,Multnomah County,2012
Providence Portland Medical Center,2535,1676,52,807,Multnomah County,2012
Alma Midwifery Services,116,115,1,0,Multnomah County,2012
Andaluz Waterbirth Center - Portland,93,93,0,0,Multnomah County,2012
Natural Childbirth & Family Clinic,20,19,1,0,Multnomah County,2012
Freestanding Birth Center,1,1,0,0,Multnomah County,2012
Home Birth (Planned),316,301,15,0,Multnomah County,2012
Home Birth (Unplanned),9,9,0,0,Multnomah County,2012
Home Birth (Unknown if Planned),1,1,0,0,Multnomah County,2012
Other,9,9,0,0,Multnomah County,2012
Total Births,12,11,1,0,Polk County,2012
Home Birth (Planned),11,10,1,0,Polk County,2012
Home Birth (Unplanned),1,1,0,0,Polk County,2012
Total Births,187,119,4,64,Tillamook County,2012
General Hospital,177,109,4,64,Tillamook County,2012
Home Birth (Planned),10,10,0,0,Tillamook County,2012
Total Births,848,609,9,230,Umatilla County,2012
Good Shepherd Medical Center,498,352,5,141,Umatilla County,2012
St Anthony Hospital,341,250,2,89,Umatilla County,2012
Home Birth (Planned),9,7,2,0,Umatilla County,2012
Total Births,271,163,2,106,Union County,2012
Grande Ronde Hospital,261,154,1,106,Union County,2012
Home Birth (Planned),9,8,1,0,Union County,2012
Other,1,1,0,0,Union County,2012
Total Births,50,37,1,12,Wallowa County,2012
Wallowa Memorial Hospital,44,31,1,12,Wallowa County,2012
Home Birth (Planned),6,6,0,0,Wallowa County,2012
Total Births,303,207,1,95,Wasco County,2012
Mid-Columbia Medical Center,300,204,1,95,Wasco County,2012
Home Birth (Planned),2,2,0,0,Wasco County,2012
Home Birth (Unplanned),1,1,0,0,Wasco County,2012
Total Births,6751,4483,197,2071,Washington County,2012
Providence St Vincent Medical Center,5675,3671,175,1829,Washington County,2012
Tuality Community Hospital - Hillsboro,933,677,14,242,Washington County,2012
Andaluz Waterbirth Center - Tualatin,43,42,1,0,Washington County,2012
Home Birth (Planned),88,81,7,0,Washington County,2012
Home Birth (Unplanned),10,10,0,0,Washington County,2012
Other,2,2,0,0,Washington County,2012
Total Births,1143,829,11,303,Yamhill County,2012
Providence Newberg Medical Center,531,378,0,153,Yamhill County,2012
Willamette Valley Medical Center,528,370,8,150,Yamhill County,2012
Bella Vie Gentle Birth Center,58,55,3,0,Yamhill County,2012
Home Birth (Planned),25,25,0,0,Yamhill County,2012
Home Birth (Unknown if Planned),1,1,0,0,Yamhill County,2012
Total Births,45591,31752,1068,12771,State Total,2013
Total Births,153,118,1,34,Baker County,2013
Saint Alphonsus Medical Center - Baker City,146,112,0,34,Baker County,2013
Home Birth (Planned),7,6,1,0,Baker County,2013
Total Births,1017,768,28,221,Benton County,2013
Good Samaritan Regional Medical Center,987,738,28,221,Benton County,2013
Home Birth (Planned),30,30,0,0,Benton County,2013
Total Births,4532,3285,100,1147,Clackamas County,2013
Kaiser Sunnyside Medical Center,2119,1593,57,469,Clackamas County,2013
Legacy Meridian Park Hospital,1027,662,19,346,Clackamas County,2013
Providence Milwaukie Hospital,136,94,0,42,Clackamas County,2013
Providence Willamette Falls Medical Center,1146,835,21,290,Clackamas County,2013
Home Birth (Planned),97,95,2,0,Clackamas County,2013
Home Birth (Unplanned),4,4,0,0,Clackamas County,2013
Home Birth (Unknown if Planned),1,1,0,0,Clackamas County,2013
Other,2,1,1,0,Clackamas County,2013
Total Births,420,309,0,111,Clatsop County,2013
Columbia Memorial Hospital,322,233,0,89,Clatsop County,2013
Providence Seaside Hospital,94,72,0,22,Clatsop County,2013
Home Birth (Planned),4,4,0,0,Clatsop County,2013
Total Births,10,10,0,0,Columbia County,2013
Home Birth (Planned),10,10,0,0,Columbia County,2013
Total Births,678,484,5,189,Coos County,2013
Bay Area Hospital,662,469,5,188,Coos County,2013
Coquille Valley Hospital,8,7,0,1,Coos County,2013
Home Birth (Planned),6,6,0,0,Coos County,2013
Home Birth (Unplanned),2,2,0,0,Coos County,2013
Total Births,1,1,0,0,Crook County,2013
Home Birth (Planned),1,1,0,0,Crook County,2013
Total Births,35,29,0,6,Curry County,2013
Curry General Hospital,29,23,0,6,Curry County,2013
Home Birth (Planned),4,4,0,0,Curry County,2013
Home Birth (Unplanned),2,2,0,0,Curry County,2013
Total Births,2116,1504,32,580,Deschutes County,2013
St Charles Medical Center - Bend,1675,1151,30,494,Deschutes County,2013
St Charles Medical Center - Redmond,370,283,1,86,Deschutes County,2013
Bend Birth Center,28,28,0,0,Deschutes County,2013
Motherwise Community Birth Center,11,11,0,0,Deschutes County,2013
Home Birth (Planned),29,28,1,0,Deschutes County,2013
Home Birth (Unplanned),3,3,0,0,Deschutes County,2013
Total Births,908,685,15,208,Douglas County,2013
Mercy Medical Center,893,671,14,208,Douglas County,2013
Home Birth (Planned),12,11,1,0,Douglas County,2013
Home Birth (Unplanned),2,2,0,0,Douglas County,2013
Other,1,1,0,0,Douglas County,2013
Total Births,52,38,1,13,Grant County,2013
Blue Mountain Hospital District,43,30,0,13,Grant County,2013
Home Birth (Planned),4,4,0,0,Grant County,2013
Other,5,4,1,0,Grant County,2013
Total Births,67,42,0,25,Harney County,2013
Harney District Hospital,66,41,0,25,Harney County,2013
Home Birth (Unplanned),1,1,0,0,Harney County,2013
Total Births,467,352,6,109,Hood River County,2013
Providence Hood River Memorial Hospital,460,345,6,109,Hood River County,2013
Home Birth (Planned),5,5,0,0,Hood River County,2013
Home Birth (Unplanned),1,1,0,0,Hood River County,2013
Other,1,1,0,0,Hood River County,2013
Total Births,2486,1663,29,794,Jackson County,2013
Asante Ashland Community Hospital,309,212,15,82,Jackson County,2013
Providence Medford Medical Center,517,356,3,158,Jackson County,2013
Rogue Valley Medical Center,1545,982,9,554,Jackson County,2013
Trillium Birth Center - Medford,51,50,1,0,Jackson County,2013
Kalista Birth Sanctuary,1,1,0,0,Jackson County,2013
Home Birth (Planned),57,56,1,0,Jackson County,2013
Home Birth (Unplanned),3,3,0,0,Jackson County,2013
Home Birth (Unknown if Planned),1,1,0,0,Jackson County,2013
Other,2,2,0,0,Jackson County,2013
Total Births,182,114,0,68,Jefferson County,2013
St Charles - Madras,180,112,0,68,Jefferson County,2013
Home Birth (Planned),2,2,0,0,Jefferson County,2013
Total Births,806,649,4,153,Josephine County,2013
Three Rivers Community Hospital,752,597,2,153,Josephine County,2013
Trillium Birth Center - Redwood,18,18,0,0,Josephine County,2013
Home Birth (Planned),33,31,2,0,Josephine County,2013
Other,3,3,0,0,Josephine County,2013
Total Births,787,588,2,197,Klamath County,2013
Sky Lakes Medical Center,786,587,2,197,Klamath County,2013
Home Birth (Planned),1,1,0,0,Klamath County,2013
Total Births,70,46,0,24,Lake County,2013
Lake District Hospital,68,44,0,24,Lake County,2013
Other,2,2,0,0,Lake County,2013
Total Births,3822,2505,63,1254,Lane County,2013
McKenzie-Willamette Medical Center,642,420,1,221,Lane County,2013
Peace Harbor MC,72,59,0,13,Lane County,2013
Sacred Heart Medical Center,1,0,0,1,Lane County,2013
Sacred Heart - River Bend,2867,1791,57,1019,Lane County,2013
PeaceHealth Nurse Midwifery Birth Center,137,137,0,0,Lane County,2013
Sacred Waters Birthing Center,16,15,1,0,Lane County,2013
Home Birth (Planned),77,74,3,0,Lane County,2013
Home Birth (Unplanned),3,3,0,0,Lane County,2013
Home Birth (Unknown if Planned),2,1,1,0,Lane County,2013
Other,5,5,0,0,Lane County,2013
Total Births,340,245,2,93,Lincoln County,2013
Samaritan North Lincoln Hospital,139,111,0,28,Lincoln County,2013
Samaritan Pacific Communities Hospital,184,118,1,65,Lincoln County,2013
Home Sweet Home Birth Center,6,6,0,0,Lincoln County,2013
Home Birth (Planned),10,9,1,0,Lincoln County,2013
Other,1,1,0,0,Lincoln County,2013
Total Births,926,676,6,244,Linn County,2013
Samaritan Albany General Hospital,576,385,3,188,Linn County,2013
Samaritan Lebanon Community Hospital,299,242,1,56,Linn County,2013
Growing Family Birth Center LLC,13,13,0,0,Linn County,2013
Home Birth (Planned),36,34,2,0,Linn County,2013
Home Birth (Unplanned),1,1,0,0,Linn County,2013
Other,1,1,0,0,Linn County,2013
Total Births,614,411,1,202,Malheur County,2013
Saint Alphonsus Medical Center - Ontario,611,409,0,202,Malheur County,2013
Home Birth (Planned),3,2,1,0,Malheur County,2013
Total Births,4820,3439,105,1276,Marion County,2013
Salem Hospital,3008,2058,54,896,Marion County,2013
Santiam Memorial Hospital,114,85,0,29,Marion County,2013
Silverton Hospital,1622,1222,49,351,Marion County,2013
Aurora Family Health & Maternity Care Services,5,5,0,0,Marion County,2013
Freestanding Birth Center,2,2,0,0,Marion County,2013
Home Birth (Planned),62,60,2,0,Marion County,2013
Home Birth (Unplanned),6,6,0,0,Marion County,2013
Other,1,1,0,0,Marion County,2013
Total Births,2,2,0,0,Morrow County,2013
Pioneer Memorial Hospital (Heppner),1,1,0,0,Morrow County,2013
Home Birth (Planned),1,1,0,0,Morrow County,2013
Total Births,10730,7232,431,3067,Multnomah County,2013
Adventist Medical Center,1079,742,11,326,Multnomah County,2013
Legacy Emanuel Hospital & Health Center,2067,1220,96,751,Multnomah County,2013
Legacy Good Samaritan Hospital & Medical Ctr,1023,722,6,295,Multnomah County,2013
Legacy Mt Hood Medical Center,1027,747,31,249,Multnomah County,2013
OHSU Hospitals & Clinics,2516,1566,210,740,Multnomah County,2013
Providence Portland Medical Center,2469,1699,64,706,Multnomah County,2013
Alma Midwifery Services,107,105,2,0,Multnomah County,2013
Andaluz Waterbirth Center - Portland,89,85,4,0,Multnomah County,2013
Canyon Medical Center,22,22,0,0,Multnomah County,2013
Home Birth (Planned),315,309,6,0,Multnomah County,2013
Home Birth (Unplanned),7,7,0,0,Multnomah County,2013
Other,9,8,1,0,Multnomah County,2013
Total Births,17,15,2,0,Polk County,2013
Home Birth (Planned),15,13,2,0,Polk County,2013
Other,2,2,0,0,Polk County,2013
Total Births,1,1,0,0,Sherman County,2013
Home Birth (Planned),1,1,0,0,Sherman County,2013
Total Births,177,117,0,60,Tillamook County,2013
General Hospital,168,108,0,60,Tillamook County,2013
Home Birth (Planned),9,9,0,0,Tillamook County,2013
Total Births,843,623,6,214,Umatilla County,2013
Good Shepherd Medical Center,489,347,4,138,Umatilla County,2013
St Anthony Hospital,343,267,0,76,Umatilla County,2013
Home Birth (Planned),8,6,2,0,Umatilla County,2013
Home Birth (Unplanned),2,2,0,0,Umatilla County,2013
Other,1,1,0,0,Umatilla County,2013
Total Births,290,193,1,96,Union County,2013
Grande Ronde Hospital,269,173,0,96,Union County,2013
Home Birth (Planned),21,20,1,0,Union County,2013
Total Births,62,36,0,26,Wallowa County,2013
Wallowa Memorial Hospital,60,34,0,26,Wallowa County,2013
Home Birth (Planned),2,2,0,0,Wallowa County,2013
Total Births,280,182,0,98,Wasco County,2013
Mid-Columbia Medical Center,277,179,0,98,Wasco County,2013
Home Birth (Planned),3,3,0,0,Wasco County,2013
Total Births,6746,4546,217,1983,Washington County,2013
Kaiser Foundation - Westside,514,355,14,145,Washington County,2013
Providence St Vincent Medical Center,5221,3444,169,1608,Washington County,2013
Tuality Community Hospital - Hillsboro,868,613,25,230,Washington County,2013
Andaluz Waterbirth Center - Tualatin,44,40,4,0,Washington County,2013
Home Birth (Planned),86,81,5,0,Washington County,2013
Home Birth (Unplanned),11,11,0,0,Washington County,2013
Other,2,2,0,0,Washington County,2013
Total Births,1,1,0,0,Wheeler County,2013
Home Birth (Planned),1,1,0,0,Wheeler County,2013
Total Births,1132,842,11,279,Yamhill County,2013
Providence Newberg Medical Center,526,402,2,122,Yamhill County,2013
Willamette Valley Medical Center,496,333,6,157,Yamhill County,2013
PeaceHealth Cottage Grove Hospital & Clinics,1,1,0,0,Yamhill County,2013
Bella Vie Gentle Birth Center,87,85,2,0,Yamhill County,2013
Home Birth (Planned),22,21,1,0,Yamhill County,2013
Total Births,46100,32349,1109,12640,State Total,2014
Total Births,139,101,5,33,Baker County,2014
Saint Alphonsus Medical Center - Baker City,122,85,4,33,Baker County,2014
Home Birth (Planned),15,14,1,0,Baker County,2014
Home Birth (Unplanned),2,2,0,0,Baker County,2014
Total Births,1069,822,49,198,Benton County,2014
Good Samaritan Regional Medical Center,1032,790,44,198,Benton County,2014
Home Birth (Planned),34,29,5,0,Benton County,2014
Home Birth (Unplanned),1,1,0,0,Benton County,2014
Other,2,2,0,0,Benton County,2014
Total Births,4510,3246,135,1129,Clackamas County,2014
Kaiser Sunnyside Medical Center,2068,1524,60,484,Clackamas County,2014
Legacy Meridian Park Medical Center,1148,762,30,356,Clackamas County,2014
Providence Milwaukie Hospital,1,1,0,0,Clackamas County,2014
Providence Willamette Falls Medical Center,1173,846,38,289,Clackamas County,2014
Home Birth (Planned),113,106,7,0,Clackamas County,2014
Home Birth (Unplanned),7,7,0,0,Clackamas County,2014
Total Births,431,296,2,133,Clatsop County,2014
Columbia Memorial Hospital,311,211,0,100,Clatsop County,2014
Providence Seaside Hospital,109,76,0,33,Clatsop County,2014
Home Birth (Planned),10,8,2,0,Clatsop County,2014
Other,1,1,0,0,Clatsop County,2014
Total Births,18,18,0,0,Columbia County,2014
Home Birth (Planned),15,15,0,0,Columbia County,2014
Home Birth (Unplanned),3,3,0,0,Columbia County,2014
Total Births,691,490,8,193,Coos County,2014
Bay Area Hospital,686,485,8,193,Coos County,2014
Home Birth (Planned),5,5,0,0,Coos County,2014
Total Births,5,5,0,0,Crook County,2014
Home Birth (Planned),4,4,0,0,Crook County,2014
Home Birth (Unplanned),1,1,0,0,Crook County,2014
Total Births,32,27,0,5,Curry County,2014
Curry General Hospital,19,14,0,5,Curry County,2014
Home Birth (Planned),5,5,0,0,Curry County,2014
Other,8,8,0,0,Curry County,2014
Total Births,2189,1595,37,557,Deschutes County,2014
